69,892,499,500,496,764,733,736,547,494,0.63825057343748,0.753477937452924
891,893,500,946,497,494,770,498,329,549,0.57664286182841,0.811375603785895
892,894,198,942,611,682,591,500,497,495,0.626086028308558,0.774490816795948
893,462,327,891,498,682,494,433,822,957,0.563291199959955,0.666549974998672
117,895,885,338,499,615,495,891,498,496,0.610803696325913,0.802457804646116
728,895,355,527,680,912,670,891,499,497,0.595914739888134,0.689762300049072
894,317,891,892,500,328,496,710,675,498,0.589233475943869,0.736025334666331
895,896,116,893,785,644,497,312,500,499,0.635596997250327,0.755879058993102
357,832,892,894,950,168,498,864,447,500,0.575413845807352,0.751627836035345
896,105,904,715,708,495,240,892,498,946,0.541556519536109,0.728075983926014
897,342,910,895,499,63,616,893,891,496,0.621734736771913,0.716876778726962
898,897,123,896,941,289,499,894,892,947,0.617553281214826,0.790212837847818
422,266,608,630,968,496,500,895,136,947,0.628412948295982,0.734194650063871
554,898,893,897,891,497,366,440,339,210,0.627216978741969,0.774259720669988
899,420,310,898,11,498,949,896,893,891,0.565485202828396,0.799130636987598
900,25,894,418,892,532,495,897,168,619,0.623533695241245,0.779898937525631
674,741,895,899,669,499,623,38,87,892,0.606642108366379,0.722101851236064
958,899,896,900,143,500,943,764,894,878,0.603022173940816,0.747233184757739
898,492,481,948,391,491,300,523,17,518,0.575163533269547,0.772649164472675
981,541,897,949,893,944,499,898,287,147,0.637947069185026,0.70780095363518
982,683,586,494,894,891,437,585,895,893,0.57444259373724,0.753031613308214
467,499,16,919,895,965,891,686,896,894,0.559252963197319,0.77796787104952
983,897,898,572,896,489,892,348,409,332,0.623056689874797,0.717648519606757
984,844,615,34,897,892,894,899,435,895,0.589297174959378,0.777209028257997
985,467,342,896,519,893,895,900,897,791,0.622167964442837,0.811375603785895
985,467,899,896,898,893,895,900,897,636,0.630003321172131,0.811375603785895
542,467,899,144,898,893,895,41,897,88,0.645789281058762,0.783152484705707
849,467,972,214,898,893,895,900,897,896,0.646822735881334,0.756652021224767
985,467,899,896,898,334,895,447,495,897,0.628636016677031,0.766262663745228
582,662,899,896,898,893,895,844,897,939,0.645592009723855,0.709073807087342
456,467,900,943,495,278,896,577,898,144,0.600327007014535,0.823620570584193
357,467,959,943,899,894,776,736,898,575,0.59991102872774,0.768282972826114
985,467,666,427,900,548,106,939,813,898,0.606105216314816,0.685600812204586
619,981,900,942,239,722,896,551,899,503,0.611861567736331,0.725672096826402
986,982,947,739,941,934,499,246,900,899,0.631876384692557,0.790212837847818
986,982,146,660,941,935,897,905,900,363,0.638303226995717,0.789286791729477
986,369,947,981,807,895,887,900,625,899,0.613831470076721,0.75217090861357
987,982,981,776,432,896,897,900,919,723,0.633795103425154,0.712316372969255
179,983,982,746,941,897,898,970,132,900,0.635216951249106,0.823620570584193
179,471,71,746,941,841,898,970,900,739,0.576333522898673,0.787093185275927
988,223,982,684,941,897,899,499,437,900,0.657503878274589,0.749747210731827
989,860,160,982,941,897,900,970,119,835,0.619065231061671,0.729086623080035
755,983,982,724,981,898,241,421,64,900,0.613964828646403,0.758662551109111
990,983,320,537,982,899,129,560,589,900,0.591231312547739,0.75178562708303
900,984,982,983,400,693,495,940,897,118,0.6486866323097,0.768282972826114
900,302,982,983,951,423,323,118,853,950,0.597130062973433,0.764964061459699
943,984,983,178,517,900,312,799,897,941,0.629672086739394,0.835865537382491
812,984,951,132,971,900,357,946,83,998,0.592612048431874,0.848110504180789
943,984,983,178,48,900,312,946,897,941,0.629789043290945,0.823620570584193
943,191,983,472,201,900,461,463,62,941,0.597854365864876,0.747120206888037
943,597,109,178,983,32,871,582,410,941,0.616811529755712,0.762335264150488
424,190,35,957,984,540,312,303,897,941,0.636202611878493,0.756038006027817
943,984,951,178,91,900,312,669,897,495,0.61628451768249,0.747120206888037
178,984,983,580,724,900,589,946,897,981,0.635747485097569,0.748422271265367
988,939,983,565,985,893,495,619,897,982,0.657984951545114,0.729893486405055
393,984,348,381,986,497,898,946,897,603,0.651490440574323,0.766756206737121
892,984,110,596,986,856,623,946,897,983,0.634550832548667,0.788917316708814
892,452,984,16,986,497,898,437,363,983,0.623495316600728,0.800230946532486
341,984,824,458,895,497,898,946,897,983,0.628396815967737,0.823620570584193
892,984,897,178,986,497,24,946,926,983,0.655415160231292,0.823620570584193
892,984,530,178,986,497,898,688,897,983,0.637211108350687,0.835865537382491
57,984,963,385,104,497,898,946,169,983,0.632538110954148,0.807642418302302
892,744,963,178,292,310,898,946,897,983,0.624682600497967,0.779001173535419
892,3,984,999,986,497,46,2,897,47,0.646246173174189,0.786504687468286
892,984,137,388,986,497,898,946,897,983,0.624555249158131,0.835865537382491
892,566,916,178,287,497,709,946,897,983,0.595734510263805,0.741208686371555
719,984,799,178,317,620,369,946,897,703,0.610470136137141,0.789286791729477
892,984,182,571,510,234,898,946,897,512,0.614967351622364,0.823620570584193
892,984,960,178,986,497,898,167,425,983,0.634974774226562,0.816633837920525
75,984,960,151,986,497,898,946,589,983,0.628046261166365,0.783765864678156
892,363,128,410,986,497,898,946,897,983,0.61851661750736,0.823620570584193
